state,name,wikipedia_url,official_url,pop2013,OCDID,census_geoid
Alabama,Lauderdale County,"https://en.wikipedia.org/wiki/Lauderdale_County,_Alabama",http://www.lauderdalecountyonline.com,"92,797",ocd-division/country:us/state:al/county:lauderdale,01077
Alabama,Lawrence County,"https://en.wikipedia.org/wiki/Lawrence_County,_Alabama",http://www.lawrencealabama.com,"33,587",ocd-division/country:us/state:al/county:lawrence,01079
Alabama,Lee County,"https://en.wikipedia.org/wiki/Lee_County,_Alabama",http://www.leeco.us,"150,933",ocd-division/country:us/state:al/county:lee,01081
Alabama,Limestone County,"https://en.wikipedia.org/wiki/Limestone_County,_Alabama",http://limestonecounty-al.gov/,"88,845",ocd-division/country:us/state:al/county:limestone,01083
Alabama,Lowndes County,"https://en.wikipedia.org/wiki/Lowndes_County,_Alabama",,"10,703",ocd-division/country:us/state:al/county:lowndes,01085
Alabama,Macon County,"https://en.wikipedia.org/wiki/Macon_County,_Alabama",,"19,688",ocd-division/country:us/state:al/county:macon,01087
Alabama,Madison County,"https://en.wikipedia.org/wiki/Madison_County,_Alabama",http://www.co.madison.al.us,"346,892",ocd-division/country:us/state:al/county:madison,01089
Alabama,Marengo County,"https://en.wikipedia.org/wiki/Marengo_County,_Alabama",http://marengocountyal.com/,"20,155",ocd-division/country:us/state:al/county:marengo,01091
Alabama,Marion County,"https://en.wikipedia.org/wiki/Marion_County,_Alabama",http://marioncountyalabama.org/,"30,334",ocd-division/country:us/state:al/county:marion,01093
Alabama,Marshall County,"https://en.wikipedia.org/wiki/Marshall_County,_Alabama",http://www.marshallco.org,"94,760",ocd-division/country:us/state:al/county:marshall,01095
Alabama,Mobile County,"https://en.wikipedia.org/wiki/Mobile_County,_Alabama",http://MobileCountyAL.gov,"414,079",ocd-division/country:us/state:al/county:mobile,01097
Alabama,Monroe County,"https://en.wikipedia.org/wiki/Monroe_County,_Alabama",http://www.monroecountyal.com,"22,236",ocd-division/country:us/state:al/county:monroe,01099
Alabama,Montgomery County,"https://en.wikipedia.org/wiki/Montgomery_County,_Alabama",http://www.mc-ala.org,"226,659",ocd-division/country:us/state:al/county:montgomery,01101
Alabama,Morgan County,"https://en.wikipedia.org/wiki/Morgan_County,_Alabama",http://www.co.morgan.al.us,"119,787",ocd-division/country:us/state:al/county:morgan,01103
Alabama,Perry County,"https://en.wikipedia.org/wiki/Perry_County,_Alabama",http://www.perrysheriff.com,"10,020",ocd-division/country:us/state:al/county:perry,01105
Alabama,Pickens County,"https://en.wikipedia.org/wiki/Pickens_County,_Alabama",http://www.pickenscountyal.com/,"19,401",ocd-division/country:us/state:al/county:pickens,01107
Alabama,Pike County,"https://en.wikipedia.org/wiki/Pike_County,_Alabama",http://www.alabamagis.com/Pike/,"33,339",ocd-division/country:us/state:al/county:pike,01109
Alabama,Randolph County,"https://en.wikipedia.org/wiki/Randolph_County,_Alabama",http://randolphcountyalabama.gov/,"22,727",ocd-division/country:us/state:al/county:randolph,01111
Alabama,Russell County,"https://en.wikipedia.org/wiki/Russell_County,_Alabama",http://www.rcala.com,"59,585",ocd-division/country:us/state:al/county:russell,01113
Alabama,Shelby County,"https://en.wikipedia.org/wiki/Shelby_County,_Alabama",http://www.shelbycountyalabama.com,"204,180",ocd-division/country:us/state:al/county:shelby,01117
Alabama,St. Clair County,"https://en.wikipedia.org/wiki/St._Clair_County,_Alabama",http://www.stclairco.com/,"86,308",ocd-division/country:us/state:al/county:st_clair,01115
Alabama,Sumter County,"https://en.wikipedia.org/wiki/Sumter_County,_Alabama",http://sumtercountyal.com/,"13,361",ocd-division/country:us/state:al/county:sumter,01119
Alabama,Talladega County,"https://en.wikipedia.org/wiki/Talladega_County,_Alabama",http://www.talladegacountyal.org/,"81,096",ocd-division/country:us/state:al/county:talladega,01121
Alabama,Tallapoosa County,"https://en.wikipedia.org/wiki/Tallapoosa_County,_Alabama",http://www.tallaco.com/,"41,203",ocd-division/country:us/state:al/county:tallapoosa,01123
Alabama,Tuscaloosa County,"https://en.wikipedia.org/wiki/Tuscaloosa_County,_Alabama",http://www.tuscco.com,"200,821",ocd-division/country:us/state:al/county:tuscaloosa,01125
Alabama,Walker County,"https://en.wikipedia.org/wiki/Walker_County,_Alabama",http://www.walkercounty.com,"65,998",ocd-division/country:us/state:al/county:walker,01127
Alabama,Washington County,"https://en.wikipedia.org/wiki/Washington_County,_Alabama",,"16,877",ocd-division/country:us/state:al/county:washington,01129
Alabama,Wilcox County,"https://en.wikipedia.org/wiki/Wilcox_County,_Alabama",,"11,307",ocd-division/country:us/state:al/county:wilcox,01131
Alabama,Winston County,"https://en.wikipedia.org/wiki/Winston_County,_Alabama",http://www.winstoncountyalabama.org/,"24,146",ocd-division/country:us/state:al/county:winston,01133
Alaska,Aleutians East Borough,"https://en.wikipedia.org/wiki/Aleutians_East_Borough,_Alaska",http://www.aleutianseast.org,"3,092",ocd-division/country:us/state:ak/borough:aleutians_east,02013
Alaska,"Anchorage, Municipality of","https://en.wikipedia.org/wiki/Anchorage,_Alaska",,"300,950",ocd-division/country:us/state:ak/borough:anchorage,02020
Alaska,Bristol Bay Borough,"https://en.wikipedia.org/wiki/Bristol_Bay_Borough,_Alaska",http://www.bristolbayboroughak.us/,960,ocd-division/country:us/state:ak/borough:bristol_bay,02060
Alaska,Denali Borough,"https://en.wikipedia.org/wiki/Denali_Borough,_Alaska",http://www.denaliborough.com,"1,867",ocd-division/country:us/state:ak/borough:denali,02068
Alaska,Fairbanks North Star Borough,"https://en.wikipedia.org/wiki/Fairbanks_North_Star_Borough,_Alaska",http://www.co.fairbanks.ak.us,"100,436",ocd-division/country:us/state:ak/borough:fairbanks_north_star,02090
Alaska,Haines Borough,"https://en.wikipedia.org/wiki/Haines_Borough,_Alaska",http://www.hainesborough.us,"2,592",ocd-division/country:us/state:ak/borough:haines,02100
Alaska,"Juneau, City and Borough of","https://en.wikipedia.org/wiki/Juneau,_Alaska",http://www.juneau.org/,"32,660",ocd-division/country:us/state:ak/borough:juneau,02110
Alaska,Kenai Peninsula Borough,"https://en.wikipedia.org/wiki/Kenai_Peninsula_Borough,_Alaska",http://www.borough.kenai.ak.us,"57,147",ocd-division/country:us/state:ak/borough:kenai_peninsula,02122
Alaska,Ketchikan Gateway Borough,"https://en.wikipedia.org/wiki/Ketchikan_Gateway_Borough,_Alaska",http://www.kgbak.us,"13,729",ocd-division/country:us/state:ak/borough:ketchikan_gateway,02130
Alaska,Kodiak Island Borough,"https://en.wikipedia.org/wiki/Kodiak_Island_Borough,_Alaska",http://www.kodiakak.us,"14,135",ocd-division/country:us/state:ak/borough:kodiak_island,02150
Alaska,Lake and Peninsula Borough,"https://en.wikipedia.org/wiki/Lake_and_Peninsula_Borough,_Alaska",http://www.lakeandpen.com,"1,648",ocd-division/country:us/state:ak/borough:lake_and_peninsula,02164
